canonicalName,website,ok,status,finalUrl,error,title,keywordCounts,evidenceLinks,contactUrl,contactOk,contactStatus,contactFinalUrl,contactError,sourceUrl,sourceOk,sourceStatus,sourceFinalUrl,sourceError,linkedinUrl,linkedinOk,linkedinStatus,linkedinError,newsLinksChecked,newsLinksOkCount,newsLinksFailed,qaStatus,auditFlags,probedAt
Costa Berry International,https://costagroup.com.au/,True,200,https://costagroup.com.au/,,Home - Costa Group,varieties:4 | brand:20 | blueberry:1 | blackberry:1 | grape:27 | apple:2,"Brand Pillars <https://costagroup.com.au/about-us/#brand-pillars> | Grapes <https://costagroup.com.au/produce/#grapes_section> | BluGenix powers the future of blueberries &nbsp; Costa Group has celebrated a significant milestone in the development o <https://costagroup.com.au/2026/05/29/blugenix-powers-the-future-of-blueberries/> | Crisp, fresh, flavour-packed grapes in every bite <https://www.instagram.com/p/DZWT-FhzytB/>",https://costagroup.com.au/contact-us/,True,200,https://costagroup.com.au/contact-us/,,https://costagroup.com.au/,True,200,https://costagroup.com.au/,,https://www.linkedin.com/company/costagroup/,True,not fetched,LinkedIn blocks many automated checks; manual browser QA required.,0,0,,verified_with_gaps,linkedin_manual_check_required,2026-07-15T20:08:29.661384+00:00
Mountain Blue Orchards Pty Ltd,https://mountainblue.com.au/,True,200,https://www.mountainblue.com.au/,,Mountain Blue,genetic:24 | genetics:24 | brand:7 | blueberry:4,Genetics <https://www.mountainblue.com.au/mountain-blue-genetics> | link <https://www.mountainblue.com.au/brands> | Brands <https://www.mountainblue.com.au/eureka-blueberries>,https://www.mountainblue.com.au/contact-us/,True,200,https://www.mountainblue.com.au/contact-us/,,https://mountainblue.com.au/,True,200,https://www.mountainblue.com.au/,,https://www.linkedin.com/company/mountain-blue/,True,not fetched,LinkedIn blocks many automated checks; manual browser QA required.,0,0,,verified_with_gaps,linkedin_manual_check_required,2026-07-15T20:08:30.978704+00:00
CIV - Consorzio Italiano Vivaisti,https://civ.it/en/,True,200,https://civ.it/en/,,Home - CIV - Consorzio Italiano Vivaisti,variety:2 | varieties:13 | genetic:1 | apple:13,Apples <https://civ.it/en/apples/>,https://civ.it/en/contact-us/,True,200,https://civ.it/en/contact-us/,,https://civ.it/en/,True,200,https://civ.it/en/,,,False,,No URL,0,0,,verified_with_gaps,missing_linkedin_url,2026-07-15T20:08:39.196315+00:00
Edward Vinson Limited,https://www.edwardvinson.co.uk/,True,200,https://www.edwardvinson.co.uk/,,Home - Edward Vinson Ltd&reg;,varieties:4 | brand:2 | strawberry:8 | apple:1,,,False,,,No URL,https://www.edwardvinson.co.uk/,True,200,https://www.edwardvinson.co.uk/,,,False,,No URL,0,0,,verified_with_gaps,missing_contact_url | missing_linkedin_url,2026-07-15T20:08:40.171298+00:00
Angus Soft Fruits,https://www.angussoftfruits.co.uk/,True,200,https://www.angussoftfruits.co.uk/,,Angus Soft Fruits - The Berry Specialists,varieties:4 | brand:60 | apple:1,Our Brands <https://www.angussoftfruits.co.uk/our-brands/>,https://www.angussoftfruits.co.uk/locations/,True,200,https://www.angussoftfruits.co.uk/locations/,,https://www.angussoftfruits.co.uk/breeding/,True,200,https://www.angussoftfruits.co.uk/breeding/,,https://www.linkedin.com/company/angus-soft-fruits-ltd/,True,not fetched,LinkedIn blocks many automated checks; manual browser QA required.,1,1,,verified_with_gaps,linkedin_manual_check_required,2026-07-15T20:08:41.543237+00:00
Stargrow Cultivar Development,https://stargrow.co.za/,True,200,https://stargrow.co.za/,,HOME - Stargrow,varieties:2 | cultivar:17 | cultivars:2 | apple:3,CULTIVAR DEVELOPMENT <https://stargrow.co.za/what-we-do/#CultivarDevelopment> | NEW VARIETIES <https://stargrow.co.za/new-varieties/>,https://stargrow.co.za/contact-us/,True,200,https://stargrow.co.za/contact-us/,,https://stargrow.co.za/,True,200,https://stargrow.co.za/,,,False,,No URL,1,1,,verified_with_gaps,missing_linkedin_url,2026-07-15T20:08:49.592803+00:00
ABZ Seeds,https://abzseeds.abzstrawberry.nl/en,True,200,https://abzseeds.abzstrawberry.nl/en,,ABZ Seeds || Specialist in strawberry cultivation,variety:1 | varieties:5 | brand:2 | strawberry:24,link <https://www.instagram.com/abz_strawberry/> | link <https://www.abzstrawberry.nl> | link <https://www.abzstrawberry.nl/en> | Home <https://abzseeds.abzstrawberry.nl/en> | Read more about our varieties <https://abzseeds.abzstrawberry.nl/assortment> | Holland Strawberry House <https://hollandstrawberryhouse.abzstrawberry.nl/en> | 2026 &copy; ABZ Seeds <https://abzseeds.abzstrawberry.nl/>,https://abzseeds.abzstrawberry.nl/en/contact,True,200,https://abzseeds.abzstrawberry.nl/en/contact,,https://abzseeds.abzstrawberry.nl/en/our-company,True,200,https://abzseeds.abzstrawberry.nl/en/our-company,,https://www.linkedin.com/company/abz-seeds/,True,not fetched,LinkedIn blocks many automated checks; manual browser QA required.,1,1,,verified_with_gaps,linkedin_manual_check_required,2026-07-15T20:08:53.229483+00:00
USDA Agricultural Research Service,https://www.ars.usda.gov/,True,200,https://www.ars.usda.gov/,,ARS Home : USDA ARS,varieties:7 | brand:2 | apple:2,here <https://scientificdiscoveries.ars.usda.gov/explore-our-discoveries/ars-discovery-within-popular-cover-crop-spurs-development-new-varieties>,https://www.ars.usda.gov/oc/,True,200,https://www.ars.usda.gov/oc/,,https://www.ars.usda.gov/,True,200,https://www.ars.usda.gov/,,https://www.linkedin.com/company/usda-ars/,True,not fetched,LinkedIn blocks many automated checks; manual browser QA required.,0,0,,verified_with_gaps,linkedin_manual_check_required,2026-07-15T20:08:53.974372+00:00
Agriculture and Agri-Food Canada,https://agriculture.canada.ca/,True,200,https://agriculture.canada.ca/,,Language selection - Agriculture and Agri-Food Canada / Sélection de la langue - Agriculture et Agroalimentaire Canada,apple:1,,https://agriculture.canada.ca/en/contact-agriculture-and-agri-food-canada,True,200,https://agriculture.canada.ca/en/contact,,https://agriculture.canada.ca/,True,200,https://agriculture.canada.ca/,,,False,,No URL,0,0,,verified_with_gaps,missing_linkedin_url,2026-07-15T20:08:54.964671+00:00
University of Florida,https://ifas.ufl.edu/,True,200,https://ifas.ufl.edu/,,"University of Florida Institute of Food and Agricultural Sciences - University of Florida, Institute of Food and Agricultural Sciences - UF/IFAS",variety:5 | brand:5,Question: I think I have a new variety of plant and want to name it. What do I do? <https://blogs.ifas.ufl.edu/news/2026/07/13/question-i-think-i-have-a-new-variety-of-plant-and-want-to-name-it-what-do-i-do/>,,False,,,No URL,https://ifas.ufl.edu/,True,200,https://ifas.ufl.edu/,,https://www.linkedin.com/school/ufifas/,True,not fetched,LinkedIn blocks many automated checks; manual browser QA required.,1,1,,verified_with_gaps,missing_contact_url | linkedin_manual_check_required,2026-07-15T20:08:56.367180+00:00
INRAE,https://www.inrae.fr/en,True,200,https://www.inrae.fr/en,,"INRAE: research for Agriculture, Food and Environment",genetic:2 | genetics:2 | apple:3,"Nicolas Rode, researcher in evolutionary genetics research scientist <https://www.inrae.fr/en/news/nicolas-rode-researcher-evolutionary-genetics>",https://www.inrae.fr/en/contact,True,200,https://www.inrae.fr/en/contact,,https://www.inrae.fr/en,True,200,https://www.inrae.fr/en,,,False,,No URL,2,2,,verified_with_gaps,missing_linkedin_url,2026-07-15T20:08:57.576914+00:00
Plant & Food Research,https://www.plantandfood.com/en-nz,True,200,https://www.plantandfood.com/en-nz,,A smart green future. Together. · Plant &amp; Food Research,variety:4 | varieties:25 | cultivar:4 | cultivars:3 | genetic:14 | genetics:3 | apple:26 | peach:9,New plant cultivars <https://www.plantandfood.com/en-nz/new-plant-cultivars> | Genetics &amp; genomics <https://www.plantandfood.com/en-nz/genetics-and-genomics> | Plant varieties <https://www.plantandfood.com/en-nz/plant-varieties> | Grow our varieties at home <https://www.plantandfood.com/en-nz/grow-our-varieties-at-home> | Extend your portfolio <https://www.plantandfood.com/en-nz/license-a-new-cultivar> | On genetic modification <https://www.plantandfood.com/en-nz/our-views-on-genetic-modification> | link <https://www.plantandfood.com/en-nz/article/next-generation-nz-hop-variety-launched-for-brewing-industry> | link <https://www.plantandfood.com/en-nz/article/the-arctic-apple-story>,https://www.plantandfood.com/en-nz/contact-us,True,200,https://www.plantandfood.com/en-nz/contact-us,,https://www.plantandfood.com/en-nz,True,200,https://www.plantandfood.com/en-nz,,,False,,No URL,0,0,,verified_with_gaps,missing_linkedin_url,2026-07-15T20:08:57.968471+00:00
University of California,https://itc.ucdavis.edu/,True,200,https://research.ucdavis.edu/,,Home - Office of Research,variety:2 | patent:1 | brand:1 | raspberry:7,Plant Variety Licensing Program <https://research.ucdavis.edu/industry-support/plant-variety-licensing-program/>,https://itc.ucdavis.edu/contact,True,200,https://research.ucdavis.edu/,,https://itc.ucdavis.edu/,True,200,https://research.ucdavis.edu/,,https://www.linkedin.com/school/uc-davis/,True,not fetched,LinkedIn blocks many automated checks; manual browser QA required.,1,1,,verified_with_gaps,linkedin_manual_check_required,2026-07-15T20:09:01.703311+00:00
University of Arkansas System Division of Agriculture,https://aaes.uada.edu/research/horticulture/fruit-breeding/,True,200,https://aaes.uada.edu/fruit-breeding/,,Fruit Breeding,variety:6 | cultivar:3 | cultivars:3 | genetic:6 | genetics:4 | blackberry:6 | grape:17 | apple:15 | peach:10 | nectarine:4,Variety Testing <https://aaes.uada.edu/variety-testing/> | genetic location of primocane-fruiting <https://aaes.uada.edu/news/primocane-blackberry-genetics/> | thornlessness <https://aaes.uada.edu/news/genetic-region-blackberry-thorns/> | crossbreed muscadines and Vitis vinifera grapes <https://aaes.uada.edu/news/vitis-to-muscadinia/> | LEARN MORE <https://aaes.uada.edu/fruit-breeding/grapes/> | LEARN MORE <https://aaes.uada.edu/fruit-breeding/peaches-and-nectarines/>,,False,,,No URL,https://aaes.uada.edu/research/horticulture/fruit-breeding/,True,200,https://aaes.uada.edu/fruit-breeding/,,https://www.linkedin.com/school/university-of-arkansas/,True,not fetched,LinkedIn blocks many automated checks; manual browser QA required.,1,1,,verified_with_gaps,missing_contact_url | linkedin_manual_check_required,2026-07-15T20:09:04.891857+00:00
